TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE
INFORMATION_SCHEMA,APPLICABLE_ROLES,GRANTEE,1,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,APPLICABLE_ROLES,ROLE_NAME,2,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,APPLICABLE_ROLES,ROLE_OWNER,3,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,APPLICABLE_ROLES,IS_GRANTABLE,4,,YES,TEXT,3.0,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,NAME,1,,YES,TEXT,16777216.0,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,SITE_UID,2,,YES,NUMBER,,38.0,0.0
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,DP_DEALID,3,,YES,NUMBER,,38.0,0.0
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,DATE,4,,YES,DATE,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,ECON_OCCUPANCY,5,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,OCCUPIED,6,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,SQFT_OCCUPIED,7,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,STORAGE,8,,YES,TEXT,16777216.0,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,DISCOUNTS,9,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,EXPECTED_INCOME,10,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,GROSS_POTENTIAL,11,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,MTM_CHG_IN_WEB_RATES,12,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,MONTHLY_ABSORPTION,13,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,NRSF,14,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,POTENTIAL,15,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,REAL_GPI_BASED_ON_WEB_RATES,16,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,REAL_GPI_PSF,17,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,RENT,18,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,RENT_PSF,19,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,SQFT_RENTED,20,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,WEB_RATE_DISC_TO_GPI,21,,YES,FLOAT,,,
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,BEGIN,22,,YES,NUMBER,,38.0,0.0
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,END,23,,YES,NUMBER,,38.0,0.0
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,MOVE_INS,24,,YES,NUMBER,,38.0,0.0
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,MOVE_OUT,25,,YES,NUMBER,,38.0,0.0
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,NET_MOVE_INS,26,,YES,NUMBER,,38.0,0.0
YELP,BUSINESS,BUSINESS_ID,1,,YES,TEXT,16777216.0,,
YELP,BUSINESS,NAME,2,,YES,TEXT,16777216.0,,
YELP,BUSINESS,CATEGORIES,3,,YES,TEXT,16777216.0,,
YELP,BUSINESS,ADDRESS,4,,YES,TEXT,16777216.0,,
YELP,BUSINESS,CITY,5,,YES,TEXT,16777216.0,,
YELP,BUSINESS,STATE,6,,YES,TEXT,16777216.0,,
YELP,BUSINESS,POSTAL_CODE,7,,YES,TEXT,16777216.0,,
YELP,BUSINESS,LATITUDE,8,,YES,FLOAT,,,
YELP,BUSINESS,LONGITUDE,9,,YES,FLOAT,,,
YELP,BUSINESS,IS_OPEN,10,,YES,NUMBER,,38.0,0.0
YELP,BUSINESS,REVIEW_COUNT,11,,YES,NUMBER,,38.0,0.0
YELP,BUSINESS,STARS,12,,YES,FLOAT,,,
YELP,BUSINESS,HOURS_MONDAY,13,,YES,TEXT,16777216.0,,
YELP,BUSINESS,HOURS_TUESDAY,14,,YES,TEXT,16777216.0,,
YELP,BUSINESS,HOURS_WEDNESDAY,15,,YES,TEXT,16777216.0,,
YELP,BUSINESS,HOURS_THURSDAY,16,,YES,TEXT,16777216.0,,
YELP,BUSINESS,HOURS_FRIDAY,17,,YES,TEXT,16777216.0,,
YELP,BUSINESS,HOURS_SATURDAY,18,,YES,TEXT,16777216.0,,
