TABLE_SCHEMA,TABLE_NAME,CLUSTERING_KEY,ROW_COUNT,CREATED,LAST_ALTERED
INDUSTRIAL,CIPHER,,3772.0,2024-06-07 13:11:57.393000-07:00,2024-06-19 09:08:22.627000-07:00
MULTIFAMILY,REAL_PAGE_CONCESSIONS,,1483177.0,2024-04-12 08:10:40.317000-07:00,2024-04-12 13:12:16.061000-07:00
PUBLIC,TRANSIENT_RU,,9950166.0,2023-12-14 12:31:00.346000-08:00,2023-12-14 13:49:05.664000-08:00
SELF_STORAGE,OPERATING_FACILITY_FILE_FINANCIALS,,184.0,2024-06-18 08:33:31.907000-07:00,2024-07-05 06:57:02.266000-07:00
SELF_STORAGE,RADIUS_UNION_FACILITY,,76899.0,2024-01-19 09:58:26.364000-08:00,2024-07-14 20:02:01.955000-07:00
SELF_STORAGE,RADIUS_UNION_GEOCODE_CHECK,,39710.0,2024-04-25 10:16:59.710000-07:00,2024-04-25 10:17:01.034000-07:00
SELF_STORAGE,RADIUS_UNION_UNIT,,840470.0,2024-01-31 13:41:39.571000-08:00,2024-07-14 20:02:06.156000-07:00
SELF_STORAGE,RENT_ROLL_HOLLYWOOD,,0.0,2024-07-05 12:27:19.615000-07:00,2024-07-05 12:27:19.721000-07:00
SELF_STORAGE,UPLOAD_STAGING_UNIT,,426232.0,2024-06-13 11:38:32.804000-07:00,2024-06-13 11:38:34.832000-07:00
SELF_STORAGE,RENT_ROLL_ROCHESTER,,0.0,2024-07-05 12:27:18.120000-07:00,2024-07-05 12:27:18.215000-07:00
SELF_STORAGE,RU_DATA_LOAD_CONTROL,,25.0,2024-01-15 12:37:42.623000-08:00,2024-07-14 20:02:17.692000-07:00
SELF_STORAGE,TRANSIENT_RU,,9229092.0,2024-06-13 11:35:34.378000-07:00,2024-06-13 11:38:19.939000-07:00
YELP,BUSINESS,,150346.0,2024-03-05 15:08:40.209000-08:00,2024-03-05 15:08:43.846000-08:00
INFORMATION_SCHEMA,TABLES,,,,
INFORMATION_SCHEMA,COLUMNS,,,,
INFORMATION_SCHEMA,ELEMENT_TYPES,,,,
INFORMATION_SCHEMA,FIELDS,,,,
INFORMATION_SCHEMA,SCHEMATA,,,,
INFORMATION_SCHEMA,SEQUENCES,,,,
INFORMATION_SCHEMA,VIEWS,,,,
INFORMATION_SCHEMA,TABLE_PRIVILEGES,,,,
INFORMATION_SCHEMA,USAGE_PRIVILEGES,,,,
INFORMATION_SCHEMA,DATABASES,,,,
INFORMATION_SCHEMA,REPLICATION_DATABASES,,,,
INFORMATION_SCHEMA,REPLICATION_GROUPS,,,,
INFORMATION_SCHEMA,FUNCTIONS,,,,
INFORMATION_SCHEMA,PROCEDURES,,,,
INFORMATION_SCHEMA,OBJECT_PRIVILEGES,,,,
INFORMATION_SCHEMA,FILE_FORMATS,,,,
INFORMATION_SCHEMA,APPLICABLE_ROLES,,,,
INFORMATION_SCHEMA,ENABLED_ROLES,,,,
INFORMATION_SCHEMA,STAGES,,,,
INFORMATION_SCHEMA,REFERENTIAL_CONSTRAINTS,,,,
INFORMATION_SCHEMA,TABLE_CONSTRAINTS,,,,
INFORMATION_SCHEMA,CLASS_INSTANCES,,,,
INFORMATION_SCHEMA,CLASSES,,,,
INFORMATION_SCHEMA,CLASS_INSTANCE_FUNCTIONS,,,,
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,,,,
INFORMATION_SCHEMA,MODEL_VERSIONS,,,,
INFORMATION_SCHEMA,INFORMATION_SCHEMA_CATALOG_NAME,,,,
INFORMATION_SCHEMA,LOAD_HISTORY,,,,
INFORMATION_SCHEMA,TABLE_STORAGE_METRICS,,,,
INFORMATION_SCHEMA,PIPES,,,,
INFORMATION_SCHEMA,EXTERNAL_TABLES,,,,
INFORMATION_SCHEMA,EVENT_TABLES,,,,
INFORMATION_SCHEMA,PACKAGES,,,,
INFORMATION_SCHEMA,CURRENT_PACKAGES_POLICY,,,,
INFORMATION_SCHEMA,STREAMLITS,,,,
INFORMATION_SCHEMA,GIT_REPOSITORIES,,,,
MULTIFAMILY,OCC_FORECAST_04242024,,12.0,2024-04-24 11:36:43.638000-07:00,2024-04-24 11:36:44.685000-07:00
MULTIFAMILY,REAL_PAGE_OCCUPANCY,,6083882.0,2024-04-12 08:10:41.161000-07:00,2024-04-12 13:12:19.448000-07:00
MULTIFAMILY,REAL_PAGE_PROPERTY_ATTRIBUTES,,50896.0,2024-02-19 09:52:01.409000-08:00,2024-04-12 13:12:10.959000-07:00
MULTIFAMILY,REAL_PAGE_RENTS,,6083882.0,2024-04-12 08:10:41.840000-07:00,2024-04-12 13:12:14.342000-07:00
SELF_STORAGE,PROPRIETARY_UNIT_ATTRIBUTE,,113123.0,2024-07-11 19:12:44.416000-07:00,2024-07-11 19:14:17.278000-07:00
SELF_STORAGE,RADIUS_UNION_PRICING,,297011718.0,2024-01-27 14:05:39.082000-08:00,2024-07-14 20:02:17.174000-07:00
SELF_STORAGE,RENT_ROLL_APPLE_VALLEY,,0.0,2024-07-05 12:27:17.747000-07:00,2024-07-05 12:27:17.905000-07:00
SELF_STORAGE,RENT_ROLL_PALO_ALTO,,0.0,2024-07-05 12:27:19.018000-07:00,2024-07-05 12:27:19.119000-07:00
SINGLE_FAMILY,TEMP_REDFIN,,402.0,2024-07-02 21:10:13.284000-07:00,2024-07-02 21:10:13.865000-07:00
SELF_STORAGE,PROPRIETARY_OCCUPANCY,,27627854.0,2024-07-11 19:12:48.744000-07:00,2024-07-11 19:15:33.320000-07:00
YELP,RAW_SOURCE,,6990280.0,2024-03-06 13:18:06.670000-08:00,2024-03-06 13:27:18.852000-08:00
SELF_STORAGE,UPLOAD_STAGING_PRICING,,8949748.0,2024-06-13 11:38:37.816000-07:00,2024-06-13 11:38:43.186000-07:00
SELF_STORAGE,WEBSCRAPING,,9056.0,2024-06-10 16:00:10.330000-07:00,2024-06-10 16:00:11.995000-07:00
SELF_STORAGE,MONTHLY_SUMMARY,,296304.0,2024-06-18 13:10:57.318000-07:00,2024-06-18 13:11:12.660000-07:00
MULTIFAMILY,REAL_PAGE_PROPERTY_STATUS,,6066178.0,2024-04-12 08:10:39.382000-07:00,2024-04-12 13:12:24.576000-07:00
SELF_STORAGE,ASSET_LEVEL_ACTUAL_FINANCIALS,,1112.0,2024-07-18 14:00:50.406000-07:00,2024-07-18 14:01:15.372000-07:00
SELF_STORAGE,MONTHLY_PRICE,,,2024-06-18 12:18:04.819000-07:00,2024-06-18 12:18:05.030000-07:00
YELP,REVIEW,,6990280.0,2024-03-06 13:55:17.673000-08:00,2024-03-06 13:55:30.313000-08:00
SINGLE_FAMILY,TEST_REDFIN,,195840.0,2024-06-26 13:14:38.855000-07:00,2024-06-27 10:11:25.746000-07:00
INDUSTRIAL,CIPHER_NEIGHBOR,,9977.0,2024-05-22 17:28:39.616000-07:00,2024-06-14 16:43:47.411000-07:00
MULTIFAMILY,REAL_PAGE_OCCUPANCY_V1,,,2024-04-24 11:36:19.782000-07:00,2024-04-24 11:36:19.908000-07:00
MULTIFAMILY,REDFIN,,94836.0,2024-05-16 15:03:56.187000-07:00,2024-05-16 15:22:08.660000-07:00
SELF_STORAGE,PROPRIETARY_PRICING,,28118667.0,2024-07-11 19:12:46.977000-07:00,2024-07-11 19:15:18.180000-07:00
SELF_STORAGE,RENT_ROLL_ARLINGTON,,0.0,2024-07-05 12:27:18.741000-07:00,2024-07-05 12:27:18.822000-07:00
SELF_STORAGE,RENT_ROLL_DENTON,,0.0,2024-07-05 12:27:18.425000-07:00,2024-07-05 12:27:18.530000-07:00
SELF_STORAGE,RENT_ROLL_LOVELAND,,0.0,2024-07-05 12:27:19.309000-07:00,2024-07-05 12:27:19.401000-07:00
SELF_STORAGE,RENT_ROLL_PETALUMA,,0.0,2024-07-05 12:27:09.642000-07:00,2024-07-05 12:27:09.779000-07:00
SELF_STORAGE,UPLOAD_STAGING_TABLE,,324075.0,2024-01-19 10:04:18.910000-08:00,2024-01-19 10:04:19.930000-08:00
SINGLE_FAMILY,REDFIN,LINEAR(ZIPCODE),111401371.0,2024-05-22 14:59:25.176000-07:00,2024-07-02 21:14:12.186000-07:00
SELF_STORAGE,RENT_ROLL_ALAMO_HEIGHTS,,0.0,2024-07-05 12:27:12.060000-07:00,2024-07-05 12:27:12.182000-07:00
SELF_STORAGE,RENT_ROLL_COLORADO_SPRINGS,,0.0,2024-07-05 12:27:17.377000-07:00,2024-07-05 12:27:17.515000-07:00
SINGLE_FAMILY,TEST_REDFIN_NO_ID,,0.0,2024-06-26 13:14:40.701000-07:00,2024-06-27 10:11:29.275000-07:00
SELF_STORAGE,UPLOAD_STAGING_FACILITY,,36005.0,2024-06-13 11:38:27.319000-07:00,2024-06-13 11:38:30.758000-07:00
SINGLE_FAMILY,REDFIN_NO_ID,,0.0,2024-06-27 11:42:26.461000-07:00,2024-06-27 20:49:56.540000-07:00
